Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
LesserCurvature,45.56554,0,12.7668,1.3658,-0.7306
LesserCurvature,46.06717,0,12.7719,1.3642,-0.7311
LesserCurvature,46.56773,0,12.7805,1.3582,-0.7322
LesserCurvature,47.06891,0,12.7899,1.3505,-0.7359
LesserCurvature,47.5709,0,12.8008,1.3429,-0.7374
None,48.07132,0,12.8172,1.3341,-0.7340
Posterior,52.10954,0,12.8396,1.3243,-0.7346
Posterior,52.61099,0,12.8341,1.3247,-0.7379
None,64.94399,0,12.8335,1.3282,-0.7301
Posterior,65.44522,0,12.8406,1.3278,-0.7251
Posterior,65.9477,0,12.8523,1.3206,-0.7251
Posterior,66.44857,0,12.8695,1.3174,-0.7166
Posterior,66.95007,0,12.8927,1.3112,-0.6992
Posterior,77.22424,0,12.8925,1.3147,-0.6973
Posterior,77.72623,0,12.8940,1.3156,-0.6952
None,78.22739,0,12.9006,1.3172,-0.6870
None,78.72825,0,12.9164,1.3176,-0.6705
None,103.9531,0,12.9247,1.3196,-0.6578
None,104.4544,0,12.9226,1.3200,-0.6602
None,104.9551,0,12.9272,1.3217,-0.6516
None,108.1027,0,12.9318,1.3246,-0.6412
None,108.6031,0,12.9342,1.3281,-0.6335
None,109.4386,0,12.9413,1.3311,-0.6164
None,111.5549,0,12.9380,1.3302,-0.6245
None,112.0562,0,12.9399,1.3339,-0.6157
None,112.557,0,12.9410,1.3305,-0.6177
None,113.0582,0,12.9390,1.3298,-0.6231
None,114.7848,0,12.9415,1.3321,-0.6143
None,115.3123,0,12.9434,1.3351,-0.6029
None,115.8152,0,12.9442,1.3375,-0.5924
None,116.3166,0,12.9443,1.3396,-0.5819
None,116.8176,0,12.9434,1.3418,-0.5701
None,117.3186,0,12.9408,1.3431,-0.5546
None,164.7085,0,12.9264,1.2893,-0.5454
None,165.2096,0,12.9290,1.2895,-0.5483
None,165.7105,0,12.9378,1.2899,-0.5609
None,166.212,0,12.9415,1.2895,-0.5694
None,166.7132,0,12.9435,1.2855,-0.5808
None,167.2145,0,12.9442,1.2817,-0.5924
None,167.7158,0,12.9426,1.2762,-0.6052
None,170.3612,0,12.9414,1.2741,-0.6120
None,170.8623,0,12.9405,1.2730,-0.6180
None,171.3641,0,12.9388,1.2709,-0.6249
None,171.8656,0,12.9366,1.2685,-0.6319
None,172.3656,0,12.9340,1.2663,-0.6390
None,172.8671,0,12.9310,1.2643,-0.6458
None,173.3684,0,12.9275,1.2621,-0.6528
None,173.8688,0,12.9233,1.2602,-0.6595
None,174.3967,0,12.9181,1.2587,-0.6663
None,174.8989,0,12.9127,1.2576,-0.6725
Posterior,175.3992,0,12.9069,1.2565,-0.6789
Posterior,178.7967,0,12.9040,1.2556,-0.6813
Posterior,179.2977,0,12.9040,1.2556,-0.6814
Posterior,179.7986,0,12.9000,1.2545,-0.6842
Posterior,180.2996,0,12.8959,1.2534,-0.6876
Posterior,180.8012,0,12.8927,1.2521,-0.6910
Posterior,181.3029,0,12.8901,1.2514,-0.6932
Posterior,181.8038,0,12.8888,1.2514,-0.6944
Posterior,182.3045,0,12.8810,1.2501,-0.7018
Posterior,182.8064,0,12.8716,1.2482,-0.7108
Posterior,197.6748,0,12.8687,1.2482,-0.7143
None,198.1757,0,12.8653,1.2462,-0.7162
Posterior,198.6767,0,12.8586,1.2432,-0.7207
Posterior,199.1779,0,12.8505,1.2432,-0.7276
Posterior,199.6793,0,12.8406,1.2413,-0.7334
None,200.1806,0,12.8308,1.2406,-0.7386
None,200.6821,0,12.8207,1.2409,-0.7432
None,204.2183,0,12.8170,1.2420,-0.7459
None,204.7192,0,12.8103,1.2409,-0.7479
Posterior,205.2205,0,12.8023,1.2418,-0.7506
None,205.7218,0,12.7928,1.2439,-0.7536
None,206.2235,0,12.7826,1.2459,-0.7562
None,209.5643,0,12.7808,1.2471,-0.7574
None,210.0654,0,12.7768,1.2481,-0.7584
None,210.5667,0,12.7704,1.2501,-0.7597
None,211.0674,0,12.7633,1.2522,-0.7608
None,211.5691,0,12.7558,1.2546,-0.7620
None,212.0702,0,12.7507,1.2572,-0.7621
None,258.5124,0,12.7891,1.2975,-0.7682
None,259.5982,0,12.7943,1.2943,-0.7673
None,260.0992,0,12.8003,1.2920,-0.7674
Posterior,262.4384,0,12.7996,1.2927,-0.7673
Posterior,262.9393,0,12.8116,1.2872,-0.7638
None,263.4411,0,12.8249,1.2811,-0.7603
None,263.9424,0,12.8366,1.2802,-0.7548
None,264.4431,0,12.8512,1.2806,-0.7462
None,264.9461,0,12.8663,1.2810,-0.7352
None,265.4464,0,12.8836,1.2807,-0.7188
Posterior,277.4196,0,12.8973,1.2822,-0.7033
Posterior,278.7277,0,12.9004,1.2845,-0.6996
Posterior,279.2299,0,12.9168,1.2917,-0.6816
Posterior,281.5406,0,12.9213,1.2895,-0.6761
None,282.0414,0,12.9270,1.2960,-0.6674
None,284.6866,0,12.9295,1.2929,-0.6640
None,287.0533,0,12.9310,1.2929,-0.6614
None,287.5543,0,12.9371,1.2943,-0.6490
None,288.0559,0,12.9434,1.2989,-0.6328
