CrossProduct(x),CrossProduct(y),CrossProduct(z),StomachZones
0.9478,0.9478,0.9478,LesserCurvature|None
0.0000,0.0000,0.0000,Posterior
0.9858,0.9858,0.9858,None|Posterior
0.9446,0.9446,0.9446,Posterior|None
0.0000,0.0000,0.0000,None
0.0000,0.0000,0.0000,None
-0.9531,-0.9531,-0.9531,None
0.9331,0.9331,0.9331,None
0.5841,0.5841,0.5841,None
0.8376,0.8376,0.8376,None|Posterior
0.3382,0.3382,0.3382,Posterior
0.8794,0.8794,0.8794,Posterior|None
0.9392,0.9392,0.9392,None|Posterior
0.9518,0.9518,0.9518,None
0.0000,0.0000,0.0000,None
0.8206,0.8206,0.8206,Posterior|None
0.0000,0.0000,0.0000,Posterior
0.0000,0.0000,0.0000,Posterior
0.0000,0.0000,0.0000,Posterior|None
0.0000,0.0000,0.0000,None
0.0000,0.0000,0.0000,None
