BleedingType,BleedingIndex,BleedingStartTime,BleedingFinishTime,BleedingPosition(x),BleedingPosition(y),BleedingPosition(z)
Mild,368,425.4905,430.4106,12.9363,1.3409,-0.5478
Mild,381,500.4887,504.5645,12.9345,1.3058,-0.5470
Brisk,368,463.7253,463.7253,12.9363,1.3409,-0.5478
Mild,489,740.4738,745.9537,12.9215,1.3352,-0.6168
Mild,2946,808.2891,813.2895,12.9462,1.3026,-0.6045
Brisk,489,764.077,771.4837,12.9215,1.3352,-0.6168
Brisk,2946,824.108,831.5147,12.9462,1.3026,-0.6045
Mild,2572,1041.552,1046.309,12.9016,1.3139,-0.6815
Mild,2327,1172.882,1177.321,12.8898,1.2382,-0.6540
Brisk,2572,1044.337,1052.356,12.9016,1.3139,-0.6815
Mild,866,1427.667,1432.816,12.8528,1.2966,-0.7374
Mild,896,1459.943,1464.165,12.8531,1.2704,-0.7414
Mild,933,1675.549,1680.734,12.7875,1.3681,-0.7016
Mild,968,1769.891,1774.445,12.8033,1.3190,-0.7538
Mild,1027,1817.115,1823.049,12.7992,1.2851,-0.7651
Mild,1659,1881.859,1886.231,12.7712,1.2120,-0.7174
Brisk,933,1704.899,1714.673,12.7875,1.3681,-0.7016
Brisk,968,1804.974,1814.748,12.8033,1.3190,-0.7538
Brisk,1027,1825.026,1834.8,12.7992,1.2851,-0.7651
Brisk,1659,1885.089,1894.863,12.7712,1.2120,-0.7174
Mild,1154,2163.981,2168.9,12.7260,1.2657,-0.7621
