GraspTime,UngraspTime,StomachZone,SutureSetCount,GraspPosition(x),GraspPosition(y),GraspPosition(z)
394.2423,405.8233,Anterior,1,12.90475,1.349114,-0.5524826
421.0639,433.0301,Anterior,1,12.68161,1.338858,-0.7319428
455.1803,466.5965,Anterior,1,12.67571,1.357052,-0.7081324
496.5311,507.9276,Anterior,1,12.92924,1.303519,-0.5438021
542.0104,551.7855,Anterior,1,12.6821,1.256543,-0.6943025
736.6021,747.4423,Anterior,2,12.92071,1.342207,-0.6080397
765.8466,775.4813,Anterior,2,12.94156,1.327184,-0.603858
804.8835,814.7729,Anterior,2,12.94529,1.300516,-0.5957215
834.9146,844.3308,Anterior,2,12.93804,1.279061,-0.5969337
858.6483,867.6591,Anterior,2,12.92156,1.261321,-0.5961473
887.9698,898.2955,Anterior,2,12.8913,1.246075,-0.5868624
1009.991,1019.347,Anterior,3,12.76235,1.376415,-0.711117
1038.264,1048.121,Anterior,3,12.70674,1.289124,-0.7605028
1065.197,1079.065,Anterior,3,12.72391,1.297523,-0.7644507
1111.784,1127.883,Anterior,3,12.73597,1.300126,-0.7664868
1169.644,1179.648,Anterior,3,12.88806,1.23857,-0.6486933
1199.142,1209.118,Anterior,3,12.83753,1.223618,-0.6944541
1343.255,1352.529,LesserCurvature,4,12.84602,1.336207,-0.6884068
1377.844,1394.393,Posterior,4,12.75215,1.2819,-0.7647668
1424.405,1433.571,Posterior,4,12.68137,1.371973,-0.6945909
1456.604,1466.378,Posterior,4,12.84717,1.249522,-0.5781319
1484.173,1494.228,Anterior,4,12.84792,1.236742,-0.595351
1518.29,1529.742,GreaterCurvature,4,12.83228,1.221775,-0.6945146
1672.456,1682.064,LesserCurvature,5,12.74579,1.232508,-0.6494429
1711.668,1728.007,LesserCurvature,5,12.81197,1.274357,-0.5961192
1766.385,1777.044,Posterior,5,12.69344,1.385472,-0.6884227
1813.886,1825.085,Posterior,5,12.92746,1.285617,-0.6163914
1848.499,1858.802,Anterior,5,12.89115,1.266677,-0.6890597
1878.491,1891.211,GreaterCurvature,5,12.77514,1.214145,-0.7128621
1901.968,1909.854,Posterior,5,12.80243,1.283648,-0.760478
2033.826,2045.881,LesserCurvature,6,12.91428,1.287661,-0.6143548
2081.161,2091.572,Anterior,6,12.72538,1.336639,-0.7552078
2117.313,2129.202,Posterior,6,12.73808,1.308225,-0.7654338
2160.165,2172.019,Anterior,6,12.73046,1.261847,-0.7571131
2199.073,2209.74,Anterior,6,12.72629,1.229717,-0.7322407
2224.914,2234.829,GreaterCurvature,6,12.72792,1.225341,-0.6800329
