SutureSetCount,SutureCount,SutureIndex,SutureTime,IsAnchorExchangeDone,StomachPart,SuturePosition(x),SuturePosition(y),SuturePosition(z)
1,1,369,398.8076,True,None,12.9117,1.3535,-0.5593
1,2,368,425.4905,True,None,12.9363,1.3409,-0.5478
1,3,366,459.5493,True,None,12.9403,1.3235,-0.5491
1,4,381,500.4887,True,None,12.9345,1.3058,-0.5470
1,5,398,545.2991,True,None,12.9264,1.2889,-0.5478
1,6,429,583.9232,True,None,12.9093,1.2676,-0.5534
2,1,489,740.4738,True,None,12.9215,1.3352,-0.6168
2,2,2952,768.9372,True,None,12.9409,1.3244,-0.6121
2,3,2946,808.2891,True,None,12.9462,1.3026,-0.6045
2,4,2899,837.561,True,None,12.9430,1.2830,-0.6007
2,5,2832,861.3484,True,None,12.9239,1.2613,-0.5989
2,6,2620,891.5892,True,None,12.8980,1.2459,-0.5899
3,1,2699,1013.199,True,None,12.8875,1.3320,-0.6696
3,2,2572,1041.552,True,None,12.9016,1.3139,-0.6815
3,3,2526,1072.634,True,Posterior,12.9161,1.2883,-0.6801
3,4,2510,1119.362,True,Posterior,12.9089,1.2575,-0.6737
3,5,2327,1172.882,True,None,12.8898,1.2382,-0.6540
3,6,2253,1202.29,True,None,12.8676,1.2310,-0.6348
4,1,2403,1346.209,True,LesserCurvature,12.8386,1.3403,-0.6958
4,2,2386,1387.759,True,Posterior,12.8497,1.3198,-0.7217
4,3,866,1427.667,True,Posterior,12.8528,1.2966,-0.7374
4,4,896,1459.943,True,Posterior,12.8531,1.2704,-0.7414
4,5,1414,1487.293,True,None,12.8490,1.2449,-0.7280
4,6,1578,1522.302,True,None,12.8314,1.2196,-0.6999
5,1,933,1675.549,True,LesserCurvature,12.7875,1.3681,-0.7016
5,2,1069,1715.789,True,LesserCurvature,12.7772,1.3573,-0.7294
5,3,968,1769.891,True,Posterior,12.8033,1.3190,-0.7538
5,4,1027,1817.115,True,Posterior,12.7992,1.2851,-0.7651
5,5,1441,1851.479,True,None,12.7860,1.2403,-0.7493
5,6,1659,1881.859,True,GreaterCurvature,12.7712,1.2120,-0.7174
6,1,1823,2038.306,True,None,12.7407,1.3726,-0.7315
6,2,1227,2084.72,True,None,12.7203,1.3385,-0.7449
6,3,1305,2122.184,True,Posterior,12.7280,1.3127,-0.7666
6,4,1154,2163.981,True,None,12.7260,1.2657,-0.7621
6,5,1743,2202.827,True,None,12.7201,1.2325,-0.7389
6,6,3199,2228.341,True,GreaterCurvature,12.7207,1.2246,-0.6839
