,count,mean,std,min,25%,50%,75%,max
Marking Look Realism,14.0,3.5714285714285716,0.9376144618769908,2.0,3.0,4.0,4.0,5.0
Grasping Look Realism,14.0,3.142857142857143,1.0994504121565505,2.0,2.0,3.0,4.0,5.0
Suturing Needle Look Realism,14.0,3.2142857142857144,1.1883130530663677,1.0,2.25,3.0,4.0,5.0
Suturing Overall Look Realism,14.0,2.7857142857142856,0.892582375303981,1.0,2.0,3.0,3.0,4.0
Suturing Overall Feel Realism,14.0,2.7142857142857144,0.9944903161976938,1.0,2.0,3.0,3.0,5.0
Anchor Exchange Look Realism,14.0,2.9285714285714284,0.9972489631508746,1.0,2.0,3.0,4.0,4.0
Cinch Look Realism,14.0,2.642857142857143,0.8418973861410954,1.0,2.0,3.0,3.0,4.0
Instrument Handling Look Realism,14.0,3.142857142857143,1.292412345317728,1.0,2.0,3.0,4.0,5.0
Anatomy Look Realism,14.0,3.142857142857143,1.167320591199077,1.0,2.25,3.0,4.0,5.0
Overall Look Realism,14.0,2.7857142857142856,0.8017837257372732,2.0,2.0,3.0,3.0,4.0
Overall Mechanical Realism,14.0,2.9285714285714284,1.2688144505364485,1.0,2.0,3.0,3.75,5.0
Bleeding Realism,14.0,2.7857142857142856,1.3114039117603011,1.0,2.0,2.5,3.75,5.0
Haptic Realism,14.0,2.857142857142857,1.292412345317728,1.0,2.0,2.5,3.0,5.0
Haptic Usefulness,14.0,2.7857142857142856,1.2513728724621074,1.0,2.0,2.0,3.75,5.0
Tube Responsiveness/Accuracy,14.0,2.857142857142857,1.4064216928154862,1.0,2.0,3.0,3.0,5.0
Suture Trigger Responsiveness,14.0,3.0,1.2403473458920846,1.0,2.0,3.0,4.0,5.0
Helix Responsiveness,14.0,3.0714285714285716,1.2688144505364485,1.0,2.0,3.0,4.0,5.0
Overall Feel Realism,14.0,2.642857142857143,1.0082080720186268,1.0,2.0,2.0,3.75,4.0
Overall Immersiveness,14.0,3.0,1.1094003924504583,1.0,2.0,3.0,4.0,5.0
VR Effectiveness,14.0,3.0714285714285716,1.1411388181101378,1.0,2.25,3.0,3.75,5.0
Bird's Eye Effectiveness,14.0,3.2857142857142856,1.2043875831929896,1.0,3.0,3.0,4.0,5.0
Overall Responsiveness,14.0,2.9285714285714284,1.328057326976612,1.0,2.0,3.0,4.0,5.0
Hand-Eye Coordination Usefulness,14.0,3.142857142857143,1.2314558524297639,1.0,3.0,3.0,4.0,5.0
Overall Training Usefulness,14.0,3.0,1.1766968108291043,1.0,2.25,3.0,4.0,5.0
Assessment Trustworthiness,14.0,2.7857142857142856,1.1883130530663677,1.0,2.0,2.5,3.0,5.0
OR Assistant Importance,14.0,3.7857142857142856,1.1217137594956024,2.0,3.25,4.0,4.75,5.0
Virtual Assistant Helix Importance,14.0,3.5714285714285716,1.0894095588038442,1.0,3.0,4.0,4.0,5.0
Virtual Assistant Cinch Importance,14.0,3.642857142857143,1.2157392722216298,1.0,3.25,4.0,4.0,5.0
Virtual Assistant Overall Importance,14.0,4.071428571428571,1.1411388181101378,1.0,4.0,4.0,5.0,5.0
