,count,mean,std,min,25%,50%,75%,max
Marking Look Realism,9.0,3.6666666666666665,1.0,2.0,3.0,4.0,4.0,5.0
Grasping Look Realism,9.0,3.3333333333333335,1.224744871391589,2.0,2.0,3.0,4.0,5.0
Suturing Needle Look Realism,9.0,3.2222222222222223,1.2018504251546631,1.0,3.0,3.0,4.0,5.0
Suturing Overall Look Realism,9.0,2.888888888888889,1.0540925533894598,1.0,2.0,3.0,4.0,4.0
Suturing Overall Feel Realism,9.0,2.5555555555555554,1.130388330520878,1.0,2.0,2.0,3.0,5.0
Anchor Exchange Look Realism,9.0,3.0,1.118033988749895,1.0,2.0,3.0,4.0,4.0
Cinch Look Realism,9.0,2.5555555555555554,0.8819171036881968,1.0,2.0,3.0,3.0,4.0
Instrument Handling Look Realism,9.0,3.0,1.4142135623730951,1.0,2.0,3.0,4.0,5.0
Anatomy Look Realism,9.0,3.111111111111111,1.2692955176439846,1.0,2.0,3.0,4.0,5.0
Overall Look Realism,9.0,2.7777777777777777,0.8333333333333334,2.0,2.0,3.0,3.0,4.0
Overall Mechanical Realism,9.0,2.888888888888889,1.3642254619787415,1.0,2.0,3.0,4.0,5.0
Bleeding Realism,9.0,2.6666666666666665,1.3228756555322954,1.0,2.0,3.0,3.0,5.0
Haptic Realism,9.0,2.888888888888889,1.3642254619787417,1.0,2.0,3.0,3.0,5.0
Haptic Usefulness,9.0,2.6666666666666665,1.224744871391589,1.0,2.0,2.0,3.0,5.0
Tube Responsiveness/Accuracy,9.0,3.111111111111111,1.6158932858054431,1.0,2.0,3.0,5.0,5.0
Suture Trigger Responsiveness,9.0,3.2222222222222223,1.3944333775567928,1.0,2.0,3.0,4.0,5.0
Helix Responsiveness,9.0,3.0,1.3228756555322954,1.0,2.0,3.0,4.0,5.0
Overall Feel Realism,9.0,2.6666666666666665,1.118033988749895,1.0,2.0,2.0,4.0,4.0
Overall Immersiveness,9.0,2.6666666666666665,1.224744871391589,1.0,2.0,2.0,3.0,5.0
VR Effectiveness,9.0,3.0,1.224744871391589,1.0,2.0,3.0,4.0,5.0
Bird's Eye Effectiveness,9.0,2.888888888888889,1.1666666666666667,1.0,2.0,3.0,3.0,5.0
Overall Responsiveness,9.0,2.888888888888889,1.2692955176439846,1.0,2.0,3.0,4.0,5.0
Hand-Eye Coordination Usefulness,9.0,3.111111111111111,1.1666666666666667,1.0,3.0,3.0,4.0,5.0
Overall Training Usefulness,9.0,2.888888888888889,1.1666666666666667,1.0,3.0,3.0,4.0,4.0
Assessment Trustworthiness,9.0,2.6666666666666665,1.224744871391589,1.0,2.0,2.0,3.0,5.0
OR Assistant Importance,9.0,3.6666666666666665,1.118033988749895,2.0,3.0,4.0,4.0,5.0
Virtual Assistant Helix Importance,9.0,3.4444444444444446,1.130388330520878,1.0,3.0,4.0,4.0,5.0
Virtual Assistant Cinch Importance,9.0,3.4444444444444446,1.4240006242195884,1.0,2.0,4.0,4.0,5.0
Virtual Assistant Overall Importance,9.0,3.888888888888889,1.2692955176439846,1.0,4.0,4.0,5.0,5.0
