,count,mean,std,min,25%,50%,75%,max
Marking Look Realism,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Grasping Look Realism,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Suturing Needle Look Realism,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
Suturing Overall Look Realism,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
Suturing Overall Feel Realism,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
Anchor Exchange Look Realism,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Cinch Look Realism,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
Instrument Handling Look Realism,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Anatomy Look Realism,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Overall Look Realism,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
Overall Mechanical Realism,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Bleeding Realism,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Haptic Realism,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
Haptic Usefulness,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
Tube Responsiveness/Accuracy,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
Suture Trigger Responsiveness,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Helix Responsiveness,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Overall Feel Realism,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Overall Immersiveness,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
VR Effectiveness,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
Bird's Eye Effectiveness,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Overall Responsiveness,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Hand-Eye Coordination Usefulness,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
Overall Training Usefulness,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Assessment Trustworthiness,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
OR Assistant Importance,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
Virtual Assistant Helix Importance,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
Virtual Assistant Cinch Importance,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Virtual Assistant Overall Importance,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
