,count,mean,std,min,25%,50%,75%,max
Marking Look Realism,12.0,3.4166666666666665,0.90033663737852,2.0,3.0,3.5,4.0,5.0
Grasping Look Realism,12.0,3.0,1.1281521496355325,2.0,2.0,3.0,3.25,5.0
Suturing Needle Look Realism,12.0,3.1666666666666665,1.2673044646258476,1.0,2.0,3.0,4.0,5.0
Suturing Overall Look Realism,12.0,2.6666666666666665,0.8876253645985945,1.0,2.0,3.0,3.0,4.0
Suturing Overall Feel Realism,12.0,2.5833333333333335,0.996204919895622,1.0,2.0,2.5,3.0,5.0
Anchor Exchange Look Realism,12.0,2.75,0.9653072991634227,1.0,2.0,3.0,3.25,4.0
Cinch Look Realism,12.0,2.5,0.7977240352174656,1.0,2.0,2.5,3.0,4.0
Instrument Handling Look Realism,12.0,2.9166666666666665,1.2401124093721454,1.0,2.0,3.0,3.25,5.0
Anatomy Look Realism,12.0,2.9166666666666665,1.0836246694508316,1.0,2.0,3.0,3.25,5.0
Overall Look Realism,12.0,2.6666666666666665,0.778498944161523,2.0,2.0,2.5,3.0,4.0
Overall Mechanical Realism,12.0,2.6666666666666665,1.1547005383792515,1.0,2.0,3.0,3.0,5.0
Bleeding Realism,12.0,2.5,1.1677484162422844,1.0,2.0,2.0,3.0,5.0
Haptic Realism,12.0,2.6666666666666665,1.2309149097933274,1.0,2.0,2.0,3.0,5.0
Haptic Usefulness,12.0,2.5833333333333335,1.164500152881315,1.0,2.0,2.0,3.25,5.0
Tube Responsiveness/Accuracy,12.0,2.6666666666666665,1.3706888336846839,1.0,1.75,3.0,3.0,5.0
Suture Trigger Responsiveness,12.0,2.75,1.1381803659589922,1.0,2.0,2.5,3.25,5.0
Helix Responsiveness,12.0,2.8333333333333335,1.1934162828797101,1.0,2.0,2.5,4.0,5.0
Overall Feel Realism,12.0,2.4166666666666665,0.90033663737852,1.0,2.0,2.0,3.0,4.0
Overall Immersiveness,12.0,2.9166666666666665,1.1645001528813148,1.0,2.0,3.0,4.0,5.0
VR Effectiveness,12.0,2.75,0.8660254037844386,1.0,2.0,3.0,3.0,4.0
Bird's Eye Effectiveness,12.0,3.0833333333333335,1.164500152881315,1.0,2.75,3.0,3.25,5.0
Overall Responsiveness,12.0,2.75,1.3568010505999362,1.0,2.0,2.5,3.25,5.0
Hand-Eye Coordination Usefulness,12.0,3.0,1.2060453783110545,1.0,2.75,3.0,4.0,5.0
Overall Training Usefulness,12.0,2.75,1.0552897060221726,1.0,2.0,3.0,3.25,4.0
Assessment Trustworthiness,12.0,2.5833333333333335,1.0836246694508318,1.0,2.0,2.0,3.0,5.0
OR Assistant Importance,12.0,3.6666666666666665,1.1547005383792515,2.0,2.75,4.0,4.25,5.0
Virtual Assistant Helix Importance,12.0,3.5833333333333335,1.164500152881315,1.0,3.0,4.0,4.0,5.0
Virtual Assistant Cinch Importance,12.0,3.5833333333333335,1.3113721705515065,1.0,2.75,4.0,4.25,5.0
Virtual Assistant Overall Importance,12.0,4.0,1.2060453783110545,1.0,3.75,4.0,5.0,5.0
