Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
None,154.962,0,12.9247,1.2533,-0.6331
None,160.1395,0,12.9283,1.2568,-0.6336
None,169.9287,0,12.9329,1.2627,-0.6341
None,171.1999,0,12.9328,1.2625,-0.6338
None,171.7285,0,12.9328,1.2626,-0.6338
None,197.0398,0,12.9351,1.2672,-0.6365
None,263.247,0,12.9269,1.2552,-0.6221
None,277.0901,0,12.9179,1.2478,-0.6281
None,286.7096,0,12.9154,1.2461,-0.6275
None,287.429,0,12.9135,1.2449,-0.6284
None,287.9778,0,12.9137,1.2450,-0.6278
None,288.5093,0,12.9131,1.2446,-0.6281
None,289.0818,0,12.9119,1.2439,-0.6277
None,298.9255,0,12.9096,1.2426,-0.6272
None,302.0518,0,12.9085,1.2420,-0.6266
None,304.5197,0,12.9052,1.2401,-0.6265
None,307.8475,0,12.9013,1.2381,-0.6273
None,309.9702,0,12.8972,1.2364,-0.6254
None,311.8759,0,12.8943,1.2351,-0.6254
None,315.9048,0,12.8928,1.2345,-0.6243
None,324.0275,0,12.9184,1.2482,-0.6286
None,329.8855,0,12.9233,1.2520,-0.6325
None,333.5131,0,12.9271,1.2555,-0.6331
None,338.2682,0,12.9318,1.2614,-0.6355
None,362.0654,0,12.8866,1.2448,-0.6887
None,364.67,0,12.8863,1.2436,-0.6872
None,370.6184,0,12.8811,1.2390,-0.6852
Posterior,375.5575,0,12.8764,1.2360,-0.6825
Posterior,404.8781,0,12.8734,1.2348,-0.6831
None,407.3434,0,12.8733,1.2334,-0.6802
None,409.8868,0,12.8719,1.2313,-0.6788
None,412.4106,0,12.8702,1.2292,-0.6762
None,416.303,0,12.8674,1.2280,-0.6765
