Seconds,Target,Status
3.247955,tv,Enter
3.799898,tv,Click
4.338165,tv,Click
4.877682,tv,Click
5.417376,tv,Click
5.952374,tv,Click
6.473958,tv,Click
6.976151,tv,Click
7.481442,tv,Click
7.582355,tv,Exit
7.582355,Instructions_TV,Enter
8.084337,Instructions_TV,Exit
8.084337,tv,Enter
8.595458,tv,Click
9.098512,tv,Click
9.601239,tv,Click
10.10487,tv,Click
10.6102,tv,Click
11.15501,tv,Click
11.65583,tv,Click
12.16215,tv,Click
12.66469,tv,Click
13.20698,tv,Click
13.71202,tv,Click
14.21601,tv,Click
14.75993,tv,Click
15.26741,tv,Click
15.76845,tv,Click
16.27289,tv,Click
16.78503,tv,Click
17.30062,tv,Click
17.59971,tv,Exit
17.59971,floor,Enter
17.80201,floor,Exit
17.80201,tv,Enter
18.30514,tv,Click
18.85363,tv,Click
19.35443,tv,Click
19.90761,tv,Click
20.42186,tv,Click
20.98592,tv,Click
21.50123,tv,Click
22.00333,tv,Click
22.50389,tv,Click
23.00419,tv,Click
23.50897,tv,Click
24.01136,tv,Click
24.51246,tv,Click
25.0147,tv,Click
25.56408,tv,Click
26.09607,tv,Click
26.61287,tv,Click
27.1293,tv,Click
27.68255,tv,Click
28.21135,tv,Click
28.7179,tv,Click
29.23454,tv,Click
29.75122,tv,Click
30.2751,tv,Click
30.6028,tv,Exit
36.80457,tv,Enter
37.34757,tv,Click
37.85114,tv,Exit
37.85114,floor,Enter
38.07278,floor,Exit
38.07278,tv,Enter
38.61095,tv,Click
38.84992,tv,Exit
38.84992,floor,Enter
39.36106,floor,Click
39.90866,floor,Click
40.4626,floor,Click
41.01289,floor,Click
41.51367,floor,Click
42.06664,floor,Click
42.46849,floor,Exit
