Start Date,End Date,Recorded Date,Response ID,Age,Gender,Hand Dominance,Ethnicity,Years as Fellow,Years as Advanced Endoscopy Fellow,Years in Practice,Endoscopies in Last 6 Months,Total Endoscopies,Total Endoscopic Suturing Cases,Total ESGs,Is Gamer,Weekly Time Spent Gaming,Used VR Before,Weekly Time Spent Gaming in VR,Used VR Surgical/Endoscopy Simulator Before,VR Simulator Previously Used,Marking Look Realism,Grasping Look Realism,Suturing Needle Look Realism,Suturing Overall Look Realism,Suturing Overall Feel Realism,Anchor Exchange Look Realism,Cinch Look Realism,Instrument Handling Look Realism,Anatomy Look Realism,Overall Look Realism,Overall Mechanical Realism,Bleeding Realism,Haptic Realism,Haptic Usefulness,Tube Responsiveness/Accuracy,Suture Trigger Responsiveness,Helix Responsiveness,Overall Feel Realism,Overall Immersiveness,VR Effectiveness,Bird's Eye Effectiveness,Overall Responsiveness,Hand-Eye Coordination Usefulness,Overall Training Usefulness,Assessment Trustworthiness,OR Assistant Importance,Virtual Assistant Helix Importance,Virtual Assistant Cinch Importance,Virtual Assistant Overall Importance,Realism Suggestions/Other
2025-06-04 08:22,2025-06-04 09:36,2025-06-04 09:36,R_5qVjsvNV1nUQQkF,33,Male,Right,Other,,1,,0,0,20,0,No,<1 hour,Yes,<1 hour,No,,4,3,3,3,3,2,2,4,3,3,3,2,2,2,3,3,4,3,3,3,5,3,4,4,3,5,5,5,5,"the simulator screen should show the ednoscopist hand holding the scope. improve forward and backward scope movement, make the suture transfer close to reality"
2025-06-04 08:27,2025-06-04 12:17,2025-06-04 12:17,R_5HRCaY9LEPHziQY,31,Male,Right,White,2,,,100,1000,5,0,No,,Yes,<1 hour,No,,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,4,3,3,1,1,2,2,4,4,4,4,
2025-06-04 12:19,2025-06-04 12:47,2025-06-04 12:47,R_60OsKhgbCIBwRyd,35,Male,Right,Other,3,,,500,2000,5,1,No,,No,,No,,3,2,5,2,3,3,3,3,2,2,3,4,3,2,2,2,2,2,3,3,3,2,3,2,3,2,2,3,3,Perceptual cues
2025-06-04 11:13,2025-06-04 13:27,2025-06-04 13:27,R_5mSw8HPevBLdV4d,50,Male,Right,White,,,20,500,20000,1000,20,No,<1 hour,No,<1 hour,No,,3,2,3,3,2,3,3,3,2,2,3,2,3,3,3,2,2,2,2,3,3,3,3,3,2,3,3,2,4,the scope buttons function completely different to a physical scope-so new hand eye coordination skills have to be leanred to be able to perform this assessment which takes away from the experience
2025-06-04 13:48,2025-06-04 14:25,2025-06-04 14:25,R_3do5dDARlTtFow2,45,Male,Right,White,,,11,600,14000,100,0,No,,Yes,<1 hour,No,,3,3,3,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,2,2,1,1,4,4,4,4,"1) Improve movements (1 to 1) of endoscope torsion, advancement with virtual movements. 2) Change controls to more accurately align with suturing maneuvers. 3) Try to make it less likely for the simulation to exit or move through the wall of the stomach with movements "
2025-06-05 07:58,2025-06-05 08:40,2025-06-05 08:40,R_3NQyd680PZZcMFY,41,Male,Right,Asian,,,3,500,4000,50,0,No,<1 hour,No,,No,,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,2,4,3,2,3,
2025-06-05 14:50,2025-06-05 15:29,2025-06-05 15:29,R_3Hkd05oftH0A6pH,34,Female,Right,Asian,,,1,500,3500,50,0,No,,No,,No,,2,2,1,1,1,2,2,2,2,2,2,1,2,1,1,3,2,2,2,2,1,1,1,1,2,2,1,1,1,"- The scope handling - buttons used for specific commands and technique is not similar to endosuturing in real life. 
- would integrate view of the endoscope within the virtual simulator window. I felt that I was searching/feeling for buttons and knobs since I could not see them 
- This could be helpful for a beginner however needs significant improvement if it is to assist someone used to performing endo-suturing. 
"
2025-06-05 15:38,2025-06-05 15:56,2025-06-05 15:56,R_79nPOftvEFuZG7H,41,Male,Right,White,,,8,600,10000,150,15,No,,Yes,<1 hour,No,,4,3,4,3,3,3,3,2,4,3,3,3,2,2,3,4,4,3,4,3,4,3,4,3,3,5,5,5,5,"Make the tool commands more realistic (to real life). Make anchor exchange, tighten and cinch more realistic.  The insertion tube is overly sensitive.  Allow for torque of insertion tube. Consider entirely virtual commands. "
2025-06-05 15:57,2025-06-05 16:29,2025-06-05 16:29,R_32xqPOxwfN2c99H,36,Male,Right,Hispanic,,,2,500,5000,25,0,No,<1 hour,Yes,<1 hour,Yes,medtronic polyp detector,4,4,4,3,2,4,2,3,3,3,1,3,3,2,2,4,4,2,2,3,3,2,3,3,2,2,4,4,4,the scope currently is too sensitive to movement and the controls are not realistic would be better if the normal suturing controls would be used
2025-06-06 09:53,2025-06-06 10:24,2025-06-06 10:24,R_31iOAJPZHN3HzBN,62,Male,Left,White,,,29,350,20000,0,0,No,,No,,No,,5,5,5,4,3,4,3,5,5,4,4,5,5,5,5,5,5,4,5,4,3,5,4,4,4,4,4,5,5,many tasks not performed
2025-06-06 12:00,2025-06-06 12:51,2025-06-06 12:51,R_5fW7FlSpdkUrMsx,70,Male,Right,White,,,39,400,30000,0,0,No,<1 hour,No,,No,,4,5,4,4,5,4,4,5,4,4,5,3,5,4,5,3,3,4,3,4,2,4,5,4,5,5,4,4,5,
2025-06-06 12:51,2025-06-06 13:13,2025-06-06 13:13,R_1pxhkUPBiImXy49,30,Female,Right,White,1,,,0,0,0,0,Yes,3-5 hours,No,<1 hour,No,,4,4,4,3,4,4,4,5,5,4,5,5,5,5,3,4,5,4,4,5,4,4,5,5,5,5,4,4,5,
